H1	L1	V1
1.5288914294454843e-18	4.492746174035769e-18	2.3823718315245963e-19
1.549033706232924e-18	4.4879640316299205e-18	2.343525249956957e-19
1.5404916453586224e-18	4.498105810357644e-18	2.2216629426078176e-19
1.5256736197952287e-18	4.4862389448957e-18	2.0811186761882378e-19
1.538947951299293e-18	4.4855800840560075e-18	2.0858580420062635e-19
1.54197348609393e-18	4.490314467541628e-18	2.134064179566812e-19
1.5392874268371174e-18	4.477204263964871e-18	2.1230404030159822e-19
1.5345015720564853e-18	4.4840178213029806e-18	2.1075052964732394e-19
1.5263824243459519e-18	4.483052462675312e-18	2.2571694623555966e-19
1.5446162524750786e-18	4.474046746971602e-18	2.410563740354705e-19
1.5464728519043667e-18	4.483660695372097e-18	2.5097213311446554e-19
1.5241299647572175e-18	4.476766870791822e-18	2.6205641845256086e-19
1.5327857877388234e-18	4.472468733249818e-18	2.5715069161771653e-19
1.541960627895994e-18	4.476459833782888e-18	2.582352341450993e-19
1.536597298760519e-18	4.465632296511586e-18	2.5494551514945303e-19
1.534588601957649e-18	4.469292438262677e-18	2.321781641411421e-19
1.5257421070604871e-18	4.470566934072854e-18	2.263347197291619e-19
1.5345675312957374e-18	4.4622238850906624e-18	2.1947393349603766e-19
1.546456021678839e-18	4.4694436677754e-18	2.1458028577023025e-19
1.5256676312398947e-18	4.466019018162171e-18	2.2064729313015345e-19
1.5207927590521946e-18	4.458567453264402e-18	2.1226489782757667e-19
1.5401193190202525e-18	4.463239852208418e-18	2.2159069519441235e-19
1.5359334256529719e-18	4.455230788624512e-18	2.3789718569868093e-19
1.5274228654689502e-18	4.453618465250892e-18	2.4141439032738383e-19
1.5257778453545602e-18	4.458325346994457e-18	2.5178338470475286e-19
1.5270536001106623e-18	4.450938778703102e-18	2.542602974906046e-19
1.5393637231006858e-18	4.454678684878323e-18	2.4567824652937496e-19
1.528612792970432e-18	4.4525567905614524e-18	2.393071523297197e-19
1.5131138482027718e-18	4.446086770878828e-18	2.285957516461761e-19
1.5312383298353746e-18	4.4511383210618595e-18	2.112927598375104e-19
1.536035715163264e-18	4.4431673499385345e-18	2.035740576349833e-19
1.5203829701611418e-18	4.4403024205978486e-18	2.0309434222474357e-19
1.5195180125624597e-18	4.444981160541298e-18	1.9800085687778104e-19
1.5221839179929408e-18	4.438112502559849e-18	1.8573693944636293e-19
1.5286298609928209e-18	4.44017871002554e-18	1.830679254358768e-19
1.526744050936681e-18	4.440281724961257e-18	1.9860257330260338e-19
1.5089344615123364e-18	4.4337624634034515e-18	2.1127855009581143e-19
1.5175480440744674e-18	4.437346369952265e-18	2.051970448354749e-19
1.5329948051649567e-18	4.430966554379113e-18	2.0674723013718291e-19
1.5158907407902539e-18	4.4261817613770056e-18	2.1608583318434159e-19
1.5084457336074937e-18	4.431277599509647e-18	1.9720872535821197e-19
1.5174595025026887e-18	4.424850696387337e-18	1.7956967450381218e-19
1.5181484890348327e-18	4.4274630577513345e-18	1.6688016813412039e-19
1.5205981094514258e-18	4.428576450994599e-18	1.4952153739042365e-19
1.5083091467544115e-18	4.4193613342404406e-18	1.5013487600228856e-19
1.5021278986191859e-18	4.4238267227113476e-18	1.4242083197938247e-19
1.5231008940957616e-18	4.41813116405184e-18	1.2852882043623795e-19
1.514516464999314e-18	4.412497720787434e-18	1.3347768947747427e-19
1.4977588860972699e-18	4.420509460963509e-18	1.3786547364961488e-19
1.5085133812930346e-18	4.411147211434811e-18	1.4664122975618538e-19
1.5100418994367773e-18	4.411416047448742e-18	1.5474586653715731e-19
1.5103747600139262e-18	4.418070879727408e-18	1.511772141473151e-19
1.5039835187047243e-18	4.4058755230970325e-18	1.4717593817679167e-19
1.4926533818232514e-18	4.408045168720456e-18	1.3445819749634335e-19
1.5087584345968102e-18	4.408049277763128e-18	1.2714070502018911e-19
1.5115542398133223e-18	4.398940616213449e-18	1.1375129073013258e-19
1.4901300221992156e-18	4.405730880210592e-18	9.789114303091086e-20
1.4939866019354402e-18	4.4003109154600074e-18	9.744560588958384e-20
1.504472598092134e-18	4.3964675418355904e-18	8.889334382341585e-20
1.49977601414282e-18	4.4045838670140094e-18	7.960063404675927e-20
1.4959103270827114e-18	4.395507353005634e-18	7.778246078331146e-20
1.4862893634510062e-18	4.394048543692788e-18	8.501102183710588e-20
1.492257521619029e-18	4.3954273604200894e-18	9.362908874540917e-20
1.5057951344224824e-18	4.385325968194914e-18	9.705371008707896e-20
1.4848458161160968e-18	4.3909287008472885e-18	1.0104136620410667e-19
1.478948333533743e-18	4.388567223165625e-18	9.884132574526207e-20
1.4965197726355818e-18	4.38192388773961e-18	9.512053388406738e-20
1.4907140735046669e-18	4.391900681285711e-18	8.672529566771268e-20
1.484666213195974e-18	4.38346193628124e-18	7.096874483159702e-20
1.4797418237077587e-18	4.379030368651118e-18	6.570305908824905e-20
1.478866718911229e-18	4.385260421832612e-18	5.845935134971877e-20
1.4943479995428517e-18	4.3721231638679546e-18	4.5442370751683287e-20
1.4814295452442017e-18	4.375295896987388e-18	4.5517170908866133e-20
1.4641873903573302e-18	4.3791409540144375e-18	4.678501307270895e-20
1.4835258229177576e-18	4.367898024831128e-18	4.3411326376334655e-20
1.4847140382496343e-18	4.377127499047392e-18	5.477492174655948e-20
1.4721145017606608e-18	4.372411151162629e-18	7.214941700403453e-20
1.4711862932939974e-18	4.3643379388918174e-18	7.425878118285122e-20
1.4671831980364617e-18	4.373138923274836e-18	7.862450011622678e-20
1.4790582880149825e-18	4.362103095296514e-18	7.619113376514491e-20
1.4774223033163203e-18	4.3600479681614625e-18	6.808217952480758e-20
1.4545752364825197e-18	4.366498672389419e-18	6.239562512985996e-20
1.4661378614690428e-18	4.355596337866696e-18	4.2755292819427906e-20
1.478556235997558e-18	4.3623271421831535e-18	3.45637084867975e-20
1.4618423619723602e-18	4.3642733750755824e-18	3.7789590178057493e-20
1.4590245523573331e-18	4.351206645727531e-18	2.4464407325209167e-20
1.4613591178769309e-18	4.357881815440864e-18	1.5835187514513483e-20
1.4635416159249344e-18	4.352751103204328e-18	3.4264541349941046e-20
1.4681113018010184e-18	4.344842918240656e-18	4.7671481987230786e-20
1.4484914316617518e-18	4.3534113608587846e-18	4.9484914629455027e-20
1.448977641896762e-18	4.346614982701092e-18	5.920280932114428e-20
1.4695310926559987e-18	4.347768737633003e-18	7.069556636072065e-20
1.4536185589855937e-18	4.3509127360222846e-18	6.729537651534159e-20
1.4442249729316608e-18	4.339493904319303e-18	5.841437437875369e-20
1.4523957069093602e-18	4.344619960510225e-18	5.0756013509461356e-20
1.4500279680263599e-18	4.341115735957447e-18	3.086700961296391e-20
1.4558176377023412e-18	4.332321995812476e-18	2.344165531301638e-20
1.4448785178869602e-18	4.340736868205945e-18	2.3551855452215184e-20
1.432859189523388e-18	4.3354517139232606e-18	9.745080008446253e-21
1.453872621122994e-18	4.333372797776057e-18	4.8531886690324636e-21
1.4505062856460042e-18	4.340126173551102e-18	6.4317241592590085e-21
1.4312811810471115e-18	4.329514116412303e-18	1.727952668330955e-20
1.4384681804840243e-18	4.330747178953188e-18	3.751355028296575e-20
1.441264320984308e-18	4.331543712113486e-18	3.983196465645597e-20
1.4415135991308661e-18	4.3193316083423884e-18	4.4031729256053435e-20
1.4389434185968524e-18	4.326910784386292e-18	4.980427272278032e-20
1.4233154415810317e-18	4.325548757212159e-18	3.7722320000451486e-20
1.4351821200251627e-18	4.319451462610074e-18	2.6817111592971097e-20
1.4447946291256674e-18	4.328895855317026e-18	1.0873743130430745e-20
1.4221115501883688e-18	4.3194006603603644e-18	-7.51027256081837e-21
1.4249262416137681e-18	4.316426939988332e-18	-7.919720479111681e-21
1.433775258669038e-18	4.319900900220891e-18	-1.9751870960562878e-20
1.4268061664090308e-18	4.3087021541780235e-18	-3.5246736010999724e-20
1.4283204294494153e-18	4.314762714420186e-18	-2.9768997298249513e-20
1.4156430406753342e-18	4.3145700916956526e-18	-2.307134862062302e-20
1.4176206939285443e-18	4.3070423620874835e-18	-8.36848114245571e-21
1.436042995032848e-18	4.316420614704454e-18	-5.199724391038167e-21
1.417688375216854e-18	4.30956355168238e-18	-2.2473903700776086e-21
1.4084043264182653e-18	4.304424616066482e-18	3.936315785873952e-21
1.423404301371819e-18	4.308755266542556e-18	-1.330464665144225e-20
1.4189582193554481e-18	4.298358536508163e-18	-1.207090147906276e-20
1.414595561763973e-18	4.301853865339761e-18	-2.6339218612921147e-20
1.4105417912750553e-18	4.303086283563937e-18	-5.353795748691191e-20
1.4048828599422204e-18	4.295790278927889e-18	-5.3249699386469815e-20
1.4203443818888359e-18	4.305055801531457e-18	-7.222730275807503e-20
1.4145596798112983e-18	4.298718436911616e-18	-8.086136089282579e-20
1.3949340403136934e-18	4.291690992170316e-18	-7.911523603766882e-20
1.4092813118291155e-18	4.29878215453188e-18	-8.696300505321754e-20
1.412406760033258e-18	4.28808467062534e-18	-6.239836686632716e-20
1.401532079568556e-18	4.288628661005068e-18	-5.2715405131126684e-20
1.401205830827455e-18	4.294194226848645e-18	-5.699438350241577e-20
1.3951744859739499e-18	4.2831702991060035e-18	-5.111532616130291e-20
1.404945295326688e-18	4.2909523801650395e-18	-6.104634629120274e-20
1.4070840506675315e-18	4.291353580988977e-18	-6.913049037907276e-20
1.3870242972226591e-18	4.281227843338728e-18	-8.236956881907744e-20
1.3940782559817448e-18	4.2881092652134045e-18	-9.345541093089542e-20
1.4037183563887948e-18	4.279637466951297e-18	-9.882720934938677e-20
1.3918315419070498e-18	4.2759120525815306e-18	-1.1348299883266033e-19
1.3901812562947659e-18	4.283647160904402e-18	-1.2481095448503807e-19
1.3891751356175269e-18	4.274967865598568e-18	-1.277516432284185e-19
1.3907828071721322e-18	4.278686195392538e-18	-1.179460229886796e-19
1.3983001954904275e-18	4.282258323024047e-18	-1.0844622943228164e-19
1.3814548991191612e-18	4.270947308901529e-18	-1.0939350099729734e-19
1.3791314705348387e-18	4.2762696382967564e-18	-9.458169000263702e-20
1.3954398767821669e-18	4.2721933562369744e-18	-8.583368826592633e-20
1.3841430098625255e-18	4.26334744138138e-18	-9.608751645551646e-20
1.3779749113028506e-18	4.273625524715119e-18	-9.54060461555207e-20
1.3807353619744412e-18	4.267145341556456e-18	-1.0523399306859556e-19
1.3792479443585722e-18	4.265644495818767e-18	-1.2083009342138667e-19
1.3873580820428042e-18	4.273402014496091e-18	-1.2218105739371194e-19
1.376024469844407e-18	4.260649758666259e-18	-1.274543313348835e-19
1.367533855333762e-18	4.264716068371796e-18	-1.3650622350297064e-19
1.3828939852813343e-18	4.265291760887239e-18	-1.416235266936885e-19
1.3787145072155407e-18	4.252097144438781e-18	-1.4086313604420413e-19
1.369550153744433e-18	4.263003050803168e-18	-1.2612758268034636e-19
1.3708275345736728e-18	4.259785209089531e-18	-1.1031556873374423e-19
1.3714361028854464e-18	4.2538839326988205e-18	-1.0242575878092336e-19
1.3763011425100499e-18	4.2639642164959125e-18	-9.643173777215868e-20
1.369661343897497e-18	4.253812143645268e-18	-9.59529575682446e-20
1.3608833390273908e-18	4.2526595887303646e-18	-9.528266623483271e-20
1.3711130168040442e-18	4.257236132365537e-18	-9.913410429519351e-20
1.3728622455160256e-18	4.245674139572749e-18	-1.0493905582305449e-19
1.3614622797556536e-18	4.251304155929596e-18	-1.0628865784841904e-19
1.3615624997210727e-18	4.253251342859086e-18	-1.1547196198577352e-19
1.3642275354122128e-18	4.2452774543051815e-18	-1.3113027144208725e-19
1.3658866487529976e-18	4.2531926472616e-18	-1.3637504486528e-19
1.3644277162505887e-18	4.247134204637703e-18	-1.2647751886096356e-19
1.3541889238096922e-18	4.2417040660402964e-18	-1.1355128267564118e-19
1.3603115802611428e-18	4.2495412200147374e-18	-9.752839565537539e-20
1.3669906755212971e-18	4.2373765014616254e-18	-7.74567666600549e-20
1.3552465507758818e-18	4.239160193235137e-18	-7.802602554236934e-20
1.3545738573012993e-18	4.246552250747843e-18	-7.6998603919259e-20
1.3587763120834587e-18	4.235982647420852e-18	-6.386869173145468e-20
1.356932593502902e-18	4.242467447262112e-18	-7.618812551398929e-20
1.3577539767283411e-18	4.2416125828832455e-18	-7.925096985168611e-20
1.3512436668342807e-18	4.232361938714456e-18	-8.445534329573411e-20
1.3517601119636622e-18	4.239419616654655e-18	-9.972204558782743e-20
1.3600233386464438e-18	4.232348425317039e-18	-9.798868432522351e-20
1.3509338803999776e-18	4.229440442666677e-18	-1.071314599588989e-19
1.3461813262794047e-18	4.236559270151304e-18	-1.0665799666195595e-19
1.3524868818878044e-18	4.229252445157511e-18	-8.744820615566423e-20
1.35246551830805e-18	4.233072482037322e-18	-7.318789526725185e-20
1.3514292616339407e-18	4.2330780905729194e-18	-6.578593798221231e-20
1.3458227013378875e-18	4.2254809199870575e-18	-5.92559099796286e-20
1.3439830330289058e-18	4.231489786202625e-18	-4.633211148638344e-20
1.3536297919477218e-18	4.224254567457066e-18	-4.6799133855790596e-20
1.3474032093299515e-18	4.2215159917188195e-18	-5.823240198840668e-20
1.3398922895681995e-18	4.2287989009994285e-18	-5.447840151033795e-20
1.347639688277046e-18	4.22076333930974e-18	-6.246101551603796e-20
1.3466596113093964e-18	4.2241558330886375e-18	-8.187572539658032e-20
1.3453398407780363e-18	4.227018474627463e-18	-8.925683922450191e-20
1.3432498040406895e-18	4.218210443335474e-18	-9.50607068068731e-20
1.338716614180418e-18	4.222247264536493e-18	-9.848334896313517e-20
1.3472498870574123e-18	4.218363801357984e-18	-8.999874782918183e-20
1.3445259284686104e-18	4.213317772173538e-18	-7.11176927447675e-20
1.3355586490054984e-18	4.220626963842575e-18	-6.22630284371467e-20
1.3419233343275548e-18	4.215262033057904e-18	-5.332835787492364e-20
1.342421273538452e-18	4.2156636468063226e-18	-4.470403451246366e-20
1.342814849076113e-18	4.219945129545671e-18	-4.712899721398407e-20
1.3412802627005298e-18	4.2113965309265545e-18	-4.774880473257819e-20
1.3337739612175383e-18	4.213429468905977e-18	-5.591907412074336e-20
1.3430639651099843e-18	4.213334385580502e-18	-6.63590371339655e-20
1.3423216280270835e-18	4.2065395726015684e-18	-7.774434676573411e-20
1.332148017381362e-18	4.2110971843878324e-18	-9.506259393817489e-20
1.3390501447897119e-18	4.207732383466533e-18	-1.0331022893474133e-19
1.3390297409183556e-18	4.207723063385503e-18	-1.0312841188436824e-19
1.3394512180926483e-18	4.2129769938851565e-18	-9.55464212199582e-20
1.338804674000288e-18	4.204214257980353e-18	-8.317146905843022e-20
1.3306520131234587e-18	4.20644556111984e-18	-7.187911282279675e-20
1.3400609202433936e-18	4.2064452205052735e-18	-6.02784655457436e-20
1.3409991130029622e-18	4.197694345083105e-18	-5.99352210938367e-20
1.329437505538614e-18	4.2050564391613396e-18	-5.835803785766932e-20
1.337313464823304e-18	4.202420177027682e-18	-5.882956126592602e-20
1.3407734344001223e-18	4.198724212838997e-18	-6.780225342441925e-20
1.3344157787333922e-18	4.20666454260724e-18	-7.348909519008082e-20
1.337285054729688e-18	4.198409824378027e-18	-8.60302666244398e-20
1.334159536640916e-18	4.197710365101082e-18	-9.760556296641724e-20
1.3361901211987935e-18	4.201827140160874e-18	-1.0504725361654302e-19
1.3425240289145758e-18	4.190925096561967e-18	-1.0878532671323405e-19
1.33111820932091e-18	4.1958571479507676e-18	-1.017277416426698e-19
1.331151081288027e-18	4.1970276975106545e-18	-9.12211244328595e-20
1.3423057781770922e-18	4.1899607021485206e-18	-7.763698561307826e-20
1.3347003250052849e-18	4.199528781866245e-18	-6.450854592134217e-20
1.3336929486796227e-18	4.191951143852656e-18	-6.282529060397677e-20
1.3374463368638234e-18	4.187945583943667e-18	-5.493273096710233e-20
1.3327165209563743e-18	4.196225141942052e-18	-4.8779313355947733e-20
1.3415837924787206e-18	4.184985724890417e-18	-5.859853785417319e-20
1.33649820162485e-18	4.188217068894063e-18	-6.171952057693145e-20
1.3276789243000772e-18	4.191184931643424e-18	-6.758980358378922e-20
1.3428235167059198e-18	4.181972183569788e-18	-8.433198391248139e-20
1.3393382538003735e-18	4.192653292406503e-18	-9.063043634364583e-20
1.3327022284548206e-18	4.187562143428889e-18	-9.173588992028624e-20
1.3380920231941658e-18	4.178990831534976e-18	-8.727072116763711e-20
1.3348698867012223e-18	4.189748102968074e-18	-7.076896797604775e-20
1.3412570705095284e-18	4.180301610378155e-18	-5.408260454376417e-20
1.3396694024870056e-18	4.17773923071482e-18	-4.0836412397751514e-20
1.329404941813372e-18	4.186159378109308e-18	-3.699610443957316e-20
1.3427649883908618e-18	4.1758252447964194e-18	-2.5971148468306508e-20
1.3457869913570868e-18	4.181101939325049e-18	-1.8966595022723702e-20
1.331587226844584e-18	4.184224240209811e-18	-2.0920471770284734e-20
1.339437040462584e-18	4.172253699414528e-18	-2.638113667179288e-20
1.3414894654369175e-18	4.1800489027948206e-18	-3.369257325097456e-20
1.3381028077166942e-18	4.176731588718618e-18	-2.796076383537803e-20
1.3449955981180291e-18	4.168748976753223e-18	-4.8909857456721354e-20
1.3338479909796483e-18	4.1794680468752885e-18	-5.45745465890394e-20
1.339695092821027e-18	4.171173167931585e-18	-3.4294794192599893e-20
1.3518488490968472e-18	4.1705010447522145e-18	-3.2376995375757705e-20
1.3355032682338158e-18	4.17875018405244e-18	-1.6159189594700184e-20
1.3387522453806662e-18	4.165794750826445e-18	-6.746233129307281e-22
1.3478961816220512e-18	4.170895153985122e-18	1.2669556580208257e-20
1.3426943905774199e-18	4.171612066151447e-18	2.366448878432581e-20
1.3461925519010211e-18	4.160401594043987e-18	2.5123782491947004e-20
1.338652664565625e-18	4.169841808468968e-18	3.3463783832404776e-20
1.3396199752752666e-18	4.164886577181031e-18	3.104192611577475e-20
1.3567635842926018e-18	4.161719465397216e-18	2.4446641009783764e-20
1.3439277741921483e-18	4.171051032024339e-18	1.3830089573165274e-20
1.3369551381291394e-18	4.160797433393176e-18	2.2478973461972186e-21
1.3527895690595015e-18	4.1604283785285645e-18	4.55615899890749e-21
1.3486730442460219e-18	4.1635914019884216e-18	3.0253234581310436e-21
1.3481920131972563e-18	4.154606895696734e-18	1.1144442234031096e-20
1.3473674290267927e-18	4.1602897299480064e-18	3.2221009803412804e-20
1.3417185154954287e-18	4.158480799117734e-18	4.652958926427402e-20
1.3595600955944986e-18	4.1523558765114915e-18	6.026149183384684e-20
1.3532444858249931e-18	4.1611674338111515e-18	7.06382095874248e-20
1.337259054200587e-18	4.1542099649536e-18	6.777003468266784e-20
1.3563769155751412e-18	4.151730751329406e-18	6.774952335192858e-20
1.357939537730923e-18	4.156702172963655e-18	7.392860183575774e-20
1.34845728507566e-18	4.1464391092204e-18	5.888692988880588e-20
1.3546510150551106e-18	4.149732963679901e-18	4.816013364191061e-20
1.3489626909048559e-18	4.152638697132707e-18	4.7861034839573623e-20
1.3576833547388991e-18	4.144423515860242e-18	3.2751809061403803e-20
1.3645197249046979e-18	4.1483963058056376e-18	2.814384031800686e-20
1.3440509315593591e-18	4.147464053006509e-18	3.7364322419223756e-20
1.356039924161444e-18	4.143096806544674e-18	4.8550085457397e-20
1.3686996395026635e-18	4.1452231319609115e-18	6.033795686110516e-20
1.3544170080751243e-18	4.1412703888985275e-18	6.925136315998759e-20
1.3585893466370884e-18	4.139347525721232e-18	7.436916313791857e-20
1.35626358082232e-18	4.142400147143254e-18	7.62184412072632e-20
1.36087352746949e-18	4.137147289068087e-18	8.40865896612837e-20
1.373780925965387e-18	4.138515368137069e-18	8.520229807898441e-20
1.3535043376103731e-18	4.140178497121771e-18	6.7433399175685e-20
1.354958365158483e-18	4.132066095136886e-18	5.718014617555942e-20
1.3769909857754736e-18	4.1350169931319036e-18	4.265759681798931e-20
1.3643850954122462e-18	4.1334354872405534e-18	3.2408240080923967e-20
1.3591271726951268e-18	4.129953420129483e-18	3.1964338646054576e-20
1.3665307186756907e-18	4.132675308698651e-18	2.531491928945308e-20
1.3652157984075723e-18	4.127354368027416e-18	4.0687774040105365e-20
1.3775584809212886e-18	4.1285501992823965e-18	5.131787488471076e-20
1.367109245026442e-18	4.128310005467503e-18	5.588307226228e-20
1.3552601889671843e-18	4.122784705344487e-18	6.758247455088531e-20
1.381637407946678e-18	4.1266125986338075e-18	6.796865374308588e-20
1.3794736159886256e-18	4.12173208618208e-18	6.984110051859961e-20
1.3625312601019544e-18	4.1186588683663016e-18	6.752586238607807e-20
1.3719965831091128e-18	4.122611218482311e-18	5.3010112736666845e-20
1.3748413416759483e-18	4.115742905678522e-18	3.9536794047376565e-20
1.3805779239816255e-18	4.117064705613588e-18	3.251127924864174e-20
1.3785635103761015e-18	4.1196565602433816e-18	1.5118525365266462e-20
1.361963380142213e-18	4.1117971541520435e-18	3.985287618182928e-21
1.3815850390228199e-18	4.11504166154062e-18	9.55235364638196e-21
1.3923269966683571e-18	4.111850029888311e-18	1.1080865498561124e-20
1.3698826135934166e-18	4.106305212309283e-18	3.2961691199994876e-20
1.3753012245232079e-18	4.1118194433184686e-18	4.1754091072270363e-20
1.3842413959438327e-18	4.1054543254104285e-18	3.894936237091562e-20
1.3853782179728067e-18	4.1048892375646115e-18	5.748365710240187e-20
