abs_z	log_I
45.6	1028.2767152561594
45.8	1037.39478123337
46.	1046.552943237945
46.2	1055.7512004307582
46.4	1064.989551983659
46.6	1074.2679970792856
46.8	1083.5865349108717
47.	1092.9451646820685
47.2	1102.3438856067635
47.4	1111.7826969089058
47.6	1121.261597822337
47.8	1130.7805875906183
48.	1140.3396654668716
48.2	1149.9388307136162
48.4	1159.5780826026112
48.6	1169.257420414703
48.8	1178.9768434396726
49.	1188.736350976091
49.2	1198.5359423311697
49.4	1208.3756168206223
49.6	1218.2553737685266
49.8	1228.1752125071853
50.	1238.1351323769957
